Top100Year,SongTitle,Artist,LyricsStatus,ReleaseYear,Genre,Lyrics,Label
2022,New Truck,Dylan Scott,True,2022,"Reggaeton, Cumbia, Indie pop","need new truck not nothing wrong mine got forty something thousand miles engine runs fine No not tore not got scratch not got dent radio works not show dirt Worth every dime spent going drive 'Til wheels fell Yeah slammed door Said ""It got lost need one not climbed not played favorite songs Need glass not fogged bare feet not need hood not laid Kissing til sun came wrong one looking luck need new truck (I need new truck Yeah need right Not tomorrow not next week Cannot take another red light memory seat find one Hair tie slipped wrist One Chapstick one picture might push bridge need one not climbed not played favorite songs Need glass not fogged bare feet not need hood not laid Kissing til sun came wrong one looking luck need new truck (I need new truck Nah not wreck might well Sitting blocks old shop way girl wrecked need one not climbed not played favorite songs Need glass not fogged bare feet not need hood not laid Kissing til sun came wrong one looking luck need new truck (I need new truck Yeah need new truck (I need new truck Yeah need new truck (I need new truck new truck new truck",Negative
2016,Cheap Thrills,Sia Featuring Sean Paul,True,2017,"Ambient, Dance/Electronic, House",Gyal come mi Come perform mi Gyal come mi Turn uh temperature warm Gyal come mi Gyal come mi Gyal come mi Come perform mi whine like gypsy left onto right swing de Man try get get fling uh nah feel vibe de bring de Need right yet mi de uh inn uh ah world nah free mi uh realize DJ Suh mi ten mic den say Ven aqua come Ven aqua come Ven aqua come Ven aqua come Come Come Come Come goal Gyal goal goal goal Come goal Come goal Bomb bomb bomb dig bomb bomb dig Come goal Gyal come mi Gyal come mi Gyal come mi Come perform mi Gyal come mi Gyal come mi Gyal come mi Come perform mi bubble whine turn de Mi ah tell uh mudra commit de Mi uh stop look body fit yeah top ting legit yeah warn get piece ah yeah 'Cah mi work hard never yet counterfeit yeah mi guy play dis hit yeah Tek mic spit yeah Ven aqua come Ven aqua come Ven aqua come Ven aqua come Come Come Come Come goal Gyal goal goal goal Come goal Come goal Bomb bomb bomb dig bomb bomb dig,Negative
2017,I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",True,2017,"Pop rap, Hip-Hop/Rap",Best Music Another one DJ Khaled Yeah looking truth money never lie no one yeah one Early morning dawn know want ride let us ride one yeah let us ride one yeah Yeah sick imitators not let real one intimidate See watching not run outta time one yeah Oh-eh-oh-oh-oh one Oh-eh-oh-oh-oh one Oh-eh-oh-oh-oh one Oh-eh-oh-oh-oh one Yeah yeah Quavo one hit spot hit one bring rain drops train drops go back remember crisscross hopscotch one hold block's hot make dreams come true wake look's without no makeup pull mama see made not got worry commas cake run inside life fame bus promise step famous Modern day Bonnie Clyde named us pull per part angles Yeah looking truth money never lie no one yeah one Early morning dawn know want ride let us ride one yeah let us ride one yeah Yeah sick imitators not let real one intimidate See watching not run outta time one yeah Oh-eh-oh-oh-oh one Oh-eh-oh-oh-oh one Oh-eh-oh-oh-oh one Oh-eh-oh-oh-oh one Okay though Uh beat face new Chanel like price see ice make conchie melt met club asked felt went put booty Gucci belt not got no label say want bottles not got no table not got no bed frame not got no tables watching Netflix not got no cable okay though Plug plug plug plug want night pull hair hold door Baby bitch okay Baby okay okay though Yeah looking truth money never lie no one yeah one Early morning dawn know want ride let us ride one yeah let us ride one yeah Yeah sick imitators not let real one intimidate See watching not run outta time one yeah Oh-eh-oh-oh-oh one Oh-eh-oh-oh-oh one Oh-eh-oh-oh-oh one Oh-eh-oh-oh-oh one Lookin' one Well bitch looking one best yet yet best yet come looking somebody not fucking body not make catch body everybody Oh God hit day get no response Bitch blow high like turning gold bronze Roll eyes molly zombie think Clyde Bonnie like Whitney Bobby God forgive Tunechi F finessing legend Straight Crescent fly Essence record knew Khaled boy spinning records Mula Gang winning record flexing exes oh God Yeah looking truth money never lie no one yeah one Early morning dawn know want ride let us ride one yeah let us ride one yeah Yeah sick imitators not let real one intimidate See watching not run outta time one yeah Oh-eh-oh-oh-oh one Oh-eh-oh-oh-oh one Oh-eh-oh-oh-oh one Oh-eh-oh-oh-oh one not know girl not know girl one (I one yeah one not know girl not know girl one (I one yeah one not know girl not know girl one (I one yeah one not know girl not know girl one (I one yeah one,Positive
2021,Levitating,Dua Lipa,True,2020,"Disco, Electro, Space rock, Nu-disco, Pop funk, Pop",want run away know galaxy take ride premonition fell rhythm music not stop life Glitter sky glitter eyes Shining way like feeling like need little bit company met perfect time want want baby bugaboo levitating Milky Way renegading Yeah yeah yeah yeah yeah got moonlight starlight need night come dance levitating moonlight starlight moonlight need night come dance levitating believe feel energy see us written stars go wherever let us never baby Nothing's ever ever far Glitter sky glitter eyes Shining way feel like forever every time get together whatever let us get lost Mars want want baby bugaboo levitating Milky Way renegading Yeah yeah yeah yeah yeah got moonlight starlight need night come dance levitating moonlight starlight moonlight need night come dance levitating fly away tonight fly away tonight Baby let take ride Yeah yeah yeah yeah yeah levitating fly away tonight fly away tonight Baby let take ride Yeah yeah yeah yeah yeah love like rocket watch blast feeling electric dance even wanted cannot stop Yeah yeah yeah yeah yeah love like rocket watch blast feeling electric dance even wanted cannot stop Yeah yeah yeah yeah yeah want want baby bugaboo levitating Milky Way renegading got moonlight starlight need night night come dance levitating fly away tonight fly away tonight Baby let take ride Yeah yeah yeah yeah yeah take ride levitating fly away tonight fly away tonight Baby let take ride Yeah yeah yeah yeah yeah let take ride got moonlight starlight starlight need night come dance come dance baby levitating moonlight starlight moonlight need night come dance levitating,Positive
2014,Ain't It Fun,Paramore,True,2013,"Pop rock, Alternative rock, New wave, New jack swing, Funk rock, Alternative/Indie, Pop",not mind Letting easy give time not hurt wait wait not big fish pond no feeding going world not orbit around going world not orbit around not fun Living real world not good alone might one running things ring anybody's bell get want See easy ignore trouble living bubble going world not orbit around going nobody wants fool not fun Living real world not good alone not good not fun cannot count no one not good not fun cannot count no one not fun Living real world not go crying mama real world not go crying mama real world not go crying mama real world not go crying mama real world not fun not fun Baby one us not fun not fun not fun not fun Living real world not good (Are not good alone not fun living real world (Because world not orbit around not good (Are not good alone not go crying mama (Run mama real world (Do not go crying not go crying mama (To mama real world not go crying mama real world (This real world not go crying mama real world (This real world not go crying (This real world mama real world not go crying mama (Do not cry real world not go crying (Do not go not go crying not go crying (You not go crying (Do not go crying mama not go crying,Negative
2018,Youngblood,5 Seconds Of Summer,True,2018,"Pop rock, Pop",Remember words told love til day die Surrender everything made believe mine Yeah used call baby calling name Takes one know one yeah beat damn game push push pulling away Pulling away give give give take give take Youngblood Say want Say want life dead man walking tonight need yeah need time Yeah ooh ooh ooh Youngblood Say want Say want Back life dead man crawling tonight need yeah need time Yeah ooh ooh ooh Lately conversations end like last goodbye Yeah one us gets drunk calls hundred times calling baby nobody could take place looking strangers hope God see face Youngblood Say want Say want life dead man walking tonight need yeah need time Yeah ooh ooh ooh Youngblood Say want Say want Back life dead man crawling tonight need yeah need time Yeah ooh ooh ooh push push pulling away Pulling away give give give take give take running around running away Running away Youngblood Say want Say want life dead man walking tonight need yeah need time Yeah ooh ooh ooh Youngblood Say want Say want Back life dead man crawling tonight need yeah need time Yeah ooh ooh ooh push push pulling away Pulling away give give give take give take Youngblood Say want Say want life dead man walking tonight,Positive
2015,Trap Queen,Fetty Wap,True,2015,"Pop rap, Pop","Remy Boyz yeah 1738 like hello Seen yo pretty ass soon came door want chill got sack us roll Married money introduced stove Showed whip remix low trap queen let hit band counting watch far bands go set goal talking matching lambs 56 gram 5 hundred grams though Man swear love work damn pole Hit strip club letting bands go Everybody hating call fans though love money not never letting go get high baby baby left mall getting fly baby yeah ride baby baby kitchen cooking pies baby yeah ride baby left mall getting fly baby yeah ride baby kitchen cooking pies like ""Hey Hello"" hit strip trap queen know bands might snatch 'Rari buy boo Lamb' might snatch necklace drop couple ring not wanting nothing got everything Big ZooWap band remind cannot go Remy Boyz got stamp though count hell bands though Boy far bands got Fetty Wap living fifty thousand K stand though checking pockets like get high baby baby left mall getting fly baby yeah ride baby baby kitchen cooking pies baby yeah ride baby baby left mall getting fly baby yeah ride baby baby kitchen cooking pies like hello Seen yo pretty ass soon came door want chill got sack us roll Married money introduced stove Showed whip remix low trap queen let hit band counting watch far bands go set goal talking matching lambs 56 gram 5 hundred grams though Man swear love work damn pole Hit strip club letting bands go Everybody hating call fans though love money not never letting go smoking dope know Backwoods roll Remy Boy Fetty eating shit fash run house fuck ho Re-Remy Boyz nothing Re-Re-Remy Boyz nothing yeah Yeah hear boy Soundin' like zillion bucks track got whatever boy whatever Put money mouth Money wood make game go good Money sight fights Put shut huh Nitt Da Gritt huh RGF Productions Squad",Positive
2016,"Huntin', Fishin' And Lovin' Every Day",Luke Bryan,True,2015,"R&B/Soul, Nigerian R&B, Nigerian Alté, Afropop, Hip-Hop/Rap",Whoa whoa mom could make living walking woods could bet would sitting pretty good High hill looking field downwind could make nickel turning bass Never worry price gas would wheeling dealing sitting reeling hunting fishing loving every day prayer country boy prays Thank God made way Huntin' fishing loving every day Early morning late evening getting red dirt rich Flint River pay Huntin' fishing loving every day would get little farm pond buzz Sound gravel back pulling string nine point nine Murphy love baby wants roll Throws boots climbs tree Tuckin' hair hat ready go would get hunting fishing loving every day prayer country boy prays Thank God made way Huntin' fishing loving every day Early morning late evening getting red dirt rich Flint River pay Huntin' fishing loving every day Breathin' dirty air Muckalee uh Huntin' Fishin' Loving everyday want see tall pines sway close eyes let us go minds Huntin' fishing loving every day prayer country boy prays Thank God made way Huntin' fishing loving every day Black coffee morning dark whiskey evening get red dirt rich Flint River pay Huntin' fishing loving every day woo Come not come along not come along know want see Huntin' fishing loving every day yeah,Positive
2019,Act Up,City Girls,True,2018,"Pop rock, Alternative rock, Alternative/Indie",Real ass bitch give fuck night Big Birkin bag hold five six figures Stripes ass call pussy Tigger Fuckin' scamming ass rich ass night group bitches not no adding picture Drop couple racks watch ass get bigger Drinkin' liquor looking night money right eat like Snicker not got time fake ass hoes Talkin' loud fake ass clothes Fake ass shoes match fake ass gold realest bitch ever snake ass hoes Act get snatched Act get snatched Act get snatched Dirty ass nails baby girl need back Yung Miami came run sack Tired ass hoes page trona track us Brand new chain City Girls going platinum keep baby Glock not fighting no random period bitches weak serious let taste pussy acting delirious dash Rover like Fast Furious see number phone acting curious gone buy Gucci ask classy night rocking Tom Ford bet lily sister want look like bet lily brother want fuck Hood bitch good pussy not average Um cannot come around without cabbage Um pop pussy bitch quick like bubblegum not never worry deal fun Act get snatched Act get snatched Act get snatched Dirty ass nails baby girl need back JT track know paper Pussy sweet pussy tight called Lifesaver ass broke night hell nah cannot date ya ass rich night fuck ya til not one night scammed turning dancer make clap like got right answer Sit manners get harder hammer want freak pussy pink breast cancer Oh like big butts well like big bucks not care chain night big truck Yeah know getting spending Give fuck night got not giving B-badass bitch bad attitude Nails done hair done ass baby daddy fucking sucking not answer bitch Act get snatched Act get snatched Act get snatched Dirty ass nails baby girl need back,Negative
2014,Really Don't Care,Demi Lovato Featuring Cher Lloyd,True,2015,"Dance/Electronic, Pop",want play want stay want started messing head hit wall Maybe known Maybe known would walk would walk door hey Said done met someone brought face Cut part broke heart ran away guess known guess known would talk would talk even stars moon collide never want back life take words lies Oh oh oh really not care Even stars moon collide never want back life take words lies Oh oh oh really not care Oh oh oh really not care cannot believe ever stayed writing songs not deserve know way used think Oh no not anymore Oh no not anymore shot shot let go meet street not running scared walk right put one finger air make understand make understand chance chance even stars moon collide never want back life take words lies Oh oh oh really not care Even stars moon collide never want back life take words lies Oh oh oh really not care Oh oh oh really not care Yeah listen Hey hey never look back Dumb struck boy ego intact Look boy made Second guessing hit Hey Demi picked wrong lover picked one cuter want laugh trona hipster Kick curb take placoid picture even stars moon collide never want back life take words lies Oh oh oh really not care Even stars moon collide never want back life take words lies Oh oh oh really not care Oh oh oh really not care,Negative
2021,Forever After All,Luke Combs,True,2019,"Pop, Hip-Hop/Rap",cold beer's got twelve ounces good truck's got maybe three hundred thousand get much gone Duracells Maglite needle drop kind things last long new wears get getting old Sooner later time's going take toll say nothing lasts forever not seen us together way moonlight dances eyes shirt kitchen no makeup million things could look whole life love like makes man second thoughts Maybe things last forever FM station outskirts Blue jeans years shift work fading like always knew would strings guitar first love lost young heart things going break setting's good new wears get getting old Yeah sooner later time's going take toll say nothing lasts forever not seen us together way moonlight dances eyes shirt kitchen no makeup million things could look whole life love like makes man second thoughts Maybe things last forever say nothing lasts forever not seen us together way moonlight dances eyes know moment good Lord calls one us home One not side heaven knows not last long Maybe things last forever,Positive
2018,Bed,Nicki Minaj Featuring Ariana Grande,True,2018,"Reggae en Español, Reggaeton","Got bed name Wit' name Got kiss name Wit' name Thousand dollar sheets Waitin' thousand dollar sheets got Carter III repeat Back shots beat ""A Milli"" Got acting like got mill say GOAT yeah billy could make dreams come true Want fall better come not make wait morning Got bed name Wit' name Got kiss name Wit' name Love good love not turn Got bed name Wit' name Strawberry lingerie Waitin' strawberries lingerie told way Mess around mess around put everything said gone Pretty little body look better Might blow like feather Waterfalls ooh yeah better come not make wait morning Got bed name Wit' name Got kiss name Wit' name Love good love not turn Got bed name oh yeah Wit' name O-on O-on O-on O-on put name Yo starting five get city live nights scared 50 55 trona clap like somebody told ""Give five half hour told ""Give five trona dance blow advance like better got sweatpants like hang time said head right said ""Go way head right watch fuck look lucking said ""You need thick skin baby suck go insane put fame Coulda put ZAYN put name got bed name Wit' name Got kiss name Wit' name yeah Love good love not turn turn baby Got bed name name Wit' name",Positive
2020,Trollz,6ix9ine & Nicki Minaj,True,2020,"R&B/Soul, Hip-Hop/Rap","Sad Pony Watch mom Glock mom cocked mom got mom need got cash pockets cash 100 need got Need got cash pockets Bands sticks need got cash pockets cash 100 need Yeah like throw racks yeah yeah yeah yeah yeah Keep throwing cash yeah yeah yeah yeah yeah Keep throwing ass yeah yeah yeah yeah yeah Benz truck back yeah yeah yeah yeah yeah know not like want fight not want no problems party not invite not worry nights please stop talking Always talking looking cloudy Riding two ninjas Baby got Aquafina cocaine Smoking OG reefer no TMZ-a Forgiatos Benz truck make friends fuck Told could get Chanel let friends fuck Stars shining Rolls Royce got red guts Wait hold nah still not give fuck Vroom room G5 Vroom room high type night never want like type bitch never get reply Hi hater bye hater room Yeah like throw racks yeah yeah yeah yeah yeah Keep throwing cash yeah yeah yeah yeah yeah Keep throwing ass yeah yeah yeah yeah yeah Benz truck back yeah yeah yeah yeah yeah Dollar dollar bill come get Even man know Nickis better know not like want fight Always page never like Baddies left right Never chase corny night put life put face cake wanted taste sipping Ace waist pretty face Yeah eat Cookie Monster slave pussy call master Real wet said ""Slurp like pasta get nervous Nicki roster Somebody usher night clinic flow's still sick not talking pandemic write lyrics lot bitches gimmicks study Nicki style want mimic Talkin' snitches snitches camp Never stand alone always itching stamp still money wrists light like lamp gone send best fighter champ Racks got Mary popping keep hating still watching Check boards still topping Bustdown plain jane got options bunch minifies one mocking Showed get bag going shopping come sneak bitches start plotting come sweep bitches start mopping Yeah like throw racks yeah yeah yeah yeah yeah Keep throwing cash yeah yeah yeah yeah yeah Keep throwing ass yeah yeah yeah yeah yeah Benz truck back yeah yeah yeah yeah yeah Watch mom Glock mom cocked mom got mom like throw fast real fast fast fast singing old song yelling ""Ass ass ass speeding trona beat crash crash crash Still 100 like number dash dash dash real ass not keep night home",Positive
2023,IDK NoMore,Gunna,True,2023,"Latin music, Regional Mexican",not know no not know no cannot put finger not know call never used money not know ball looking let know building wall Duckin' law not trusting no one know shine wish dark know time really show burned bridge cut ties forever apart done foes soul forget Ten months without no syrup not no codeine liver men acting like girls talking nights like sisters want roll go road Lookin' peephole better hope not hitter could bad I'on't want fuck nights big brother loved stone cold killer family mean love never ever ending not know no not know no cannot put finger not know call never used money not know ball looking let know building wall Duckin' law not trusting no one know shine wish dark (I know shine know time really show burned bridge cut ties forever apart Niggas stay mad really something else always plan not no way 'Member cool gave shit not use Let get money back hope not ran Want know Wunna feel listen music Talk shit knowing clueless Real life type shit feel like movie feel not know no not know no not know no cannot put finger not know call never used money not know ball looking let know building wall Duckin' law not trusting no one know shine wish dark (I know shine know time really show burned bridge cut ties forever apart burned bridge cut ties forever apart know time really show never used money not know ball looking let know building wall (I know shine,Positive
